Id,typeOfComputationUsed,graphicalModelName,minAndMaxProbabilityofQueryequalsTrue,maxAndMaxProbabilityofQueryequalsTrue,IntervalLength,numberOfExtremePoints,allExplored,time,totaltime,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
12,S-BP,IsingModel4X4,1.0,1.0,0.0,16,false,0.443,1.819,4,4,0,0,0
13,S-BP,IsingModel4X4,1.0,1.0,0.0,16,false,0.472,2.291,4,4,0,0,0
14,S-BP,IsingModel4X4,1.0,1.0,0.0,16,false,0.554,2.8449999999999998,4,4,0,0,0
15,S-BP,IsingModel4X4,1.0,1.0,0.0,16,false,0.734,3.5789999999999997,4,4,0,0,0
16,S-BP,IsingModel4X4,1.0,1.0,0.0,16,false,1.765,5.343999999999999,4,4,0,0,0
17,S-BP,IsingModel4X4,1.0,1.0,0.0,8,false,3.322,8.666,4,4,0,0,0
18,S-BP,IsingModel4X4,1.0,1.0,0.0,8,false,4.235,12.901,4,4,0,0,0
19,S-BP,IsingModel4X4,1.0,1.0,0.0,8,false,4.746,17.647,4,4,0,0,0
20,S-BP,IsingModel4X4,1.0,1.0,0.0,8,false,4.762,22.409,4,4,0,0,0
21,S-BP,IsingModel4X4,1.0,1.0,0.0,4,false,13.655,36.064,4,4,0,0,0
22,S-BP,IsingModel4X4,1.0,1.0,0.0,4,false,18.677,54.741,4,4,0,0,0
23,S-BP,IsingModel4X4,1.0,1.0,0.0,1,false,24.508,79.249,4,4,0,0,0
24,SGDPLL,IsingModel4X4,1.0,1.0,0.0,0,true,9.538,9.538,4,4,0,0,0
0,S-BP,Line Model,0.2727272727272727,0.5333333333333333,0.2606060606060606,2,false,0.006,0.006,4,5,0,0,0
1,S-BP,Line Model,0.4044943820224719,0.5333333333333333,0.12883895131086143,2,false,0.012,0.018000000000000002,4,5,0,0,0
2,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,1,false,0.011,0.029,4,5,0,0,0
3,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,2,false,0.028,0.057,4,5,0,0,0
4,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,2,false,0.037,0.094,4,5,0,0,0
5,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,2,false,0.044,0.138,4,5,0,0,0
6,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,2,false,0.057,0.195,4,5,0,0,0
7,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,2,false,0.058,0.253,4,5,0,0,0
8,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,2,false,0.053,0.306,4,5,0,0,0
9,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,2,false,0.062,0.368,4,5,0,0,0
10,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,2,false,0.072,0.44,4,5,0,0,0
11,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,2,false,0.075,0.515,4,5,0,0,0
12,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,2,false,0.103,0.618,4,5,0,0,0
13,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,2,false,0.103,0.721,4,5,0,0,0
14,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,2,false,0.091,0.8119999999999999,4,5,0,0,0
15,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,2,false,0.1,0.9119999999999999,4,5,0,0,0
16,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,2,false,0.099,1.011,4,5,0,0,0
17,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,2,false,0.113,1.1239999999999999,4,5,0,0,0
18,S-BP,Line Model,0.49070631970260226,0.49070631970260226,0.0,1,false,0.068,1.192,4,5,0,0,0
19,SGDPLL,Line Model,0.49070631970260226,0.49070631970260226,0.0,0,true,267.409,267.409,4,5,0,0,0
0,S-BP,Binary Tree Model,0.0,1.0,1.0,2,false,0.001,0.001,4,5,0,0,0
1,S-BP,Binary Tree Model,0.7619047619047619,1.0,0.23809523809523814,4,false,0.012,0.013000000000000001,4,5,0,0,0
2,S-BP,Binary Tree Model,0.7619047619047619,1.0,0.23809523809523814,4,false,0.012,0.025,4,5,0,0,0
3,S-BP,Binary Tree Model,0.782608695652174,0.8375451263537906,0.05493643070161669,8,false,0.034,0.059000000000000004,4,5,0,0,0
4,S-BP,Binary Tree Model,0.782608695652174,0.8375451263537906,0.05493643070161669,8,false,0.069,0.128,4,5,0,0,0
5,S-BP,Binary Tree Model,0.782608695652174,0.8351648351648352,0.05255613951266125,8,false,0.103,0.23099999999999998,4,5,0,0,0
6,S-BP,Binary Tree Model,0.782608695652174,0.8351648351648352,0.05255613951266125,8,false,0.101,0.33199999999999996,4,5,0,0,0
7,S-BP,Binary Tree Model,0.7944142746314973,0.821981876644256,0.027567602012758763,16,false,0.181,0.5129999999999999,4,5,0,0,0
8,S-BP,Binary Tree Model,0.7944142746314973,0.821981876644256,0.027567602012758763,16,false,0.456,0.9689999999999999,4,5,0,0,0
9,S-BP,Binary Tree Model,0.7944142746314973,0.821981876644256,0.027567602012758763,12,false,0.366,1.335,4,5,0,0,0
10,S-BP,Binary Tree Model,0.7944142746314973,0.821981876644256,0.027567602012758763,12,false,0.413,1.748,4,5,0,0,0
11,S-BP,Binary Tree Model,0.8003979251048107,0.8216370106761566,0.021239085571345906,12,false,0.6,2.348,4,5,0,0,0
12,S-BP,Binary Tree Model,0.8006999927084093,0.8216370106761566,0.020937017967747273,12,false,0.599,2.947,4,5,0,0,0
13,S-BP,Binary Tree Model,0.8006999927084093,0.8216370106761566,0.020937017967747273,12,false,0.911,3.858,4,5,0,0,0
14,S-BP,Binary Tree Model,0.8006999927084093,0.8216370106761566,0.020937017967747273,16,false,1.163,5.021,4,5,0,0,0
15,S-BP,Binary Tree Model,0.8006999927084093,0.8216370106761566,0.020937017967747273,16,false,0.949,5.97,4,5,0,0,0
16,S-BP,Binary Tree Model,0.8095502084375187,0.8213234757912573,0.011773267353738626,16,false,1.621,7.590999999999999,4,5,0,0,0
17,S-BP,Binary Tree Model,0.8097208642354222,0.8213234757912573,0.011602611555835085,8,false,3.14,10.731,4,5,0,0,0
18,S-BP,Binary Tree Model,0.8100274385092039,0.8207097216290224,0.010682283119818559,8,false,2.63,13.361,4,5,0,0,0
19,S-BP,Binary Tree Model,0.8100274385092039,0.8207097216290224,0.010682283119818559,8,false,2.628,15.989,4,5,0,0,0
20,S-BP,Binary Tree Model,0.8148459230974604,0.8207097216290224,0.005863798531562048,8,false,4.459,20.448,4,5,0,0,0
21,S-BP,Binary Tree Model,0.8154610890692991,0.8190469020468718,0.0035858129775726555,4,false,8.503,28.951,4,5,0,0,0
22,S-BP,Binary Tree Model,0.8159493281760225,0.8190469020468718,0.0030975738708493017,4,false,9.57,38.521,4,5,0,0,0
23,S-BP,Binary Tree Model,0.8183828962219581,0.8183828962219581,0.0,1,false,22.552,61.073,4,5,0,0,0
24,SGDPLL,Binary Tree Model,0.8183828962219581,0.8183828962219581,0.0,0,true,23.769,23.769,4,5,0,0,0
0,S-BP,IsingModel2X2,0.0,1.0,1.0,2,false,0.0,0.0,2,2,0,0,0
1,S-BP,IsingModel2X2,0.2,0.5223880597014925,0.3223880597014925,4,false,0.012,0.012,2,2,0,0,0
2,S-BP,IsingModel2X2,0.2,0.46218487394957986,0.26218487394957984,4,false,0.017,0.029,2,2,0,0,0
3,S-BP,IsingModel2X2,0.3345216874628639,0.3345216874628639,0.0,1,false,0.042,0.07100000000000001,2,2,0,0,0
4,SGDPLL,IsingModel2X2,0.3345216874628639,0.3345216874628639,0.0,0,true,0.008,0.008,2,2,0,0,0
0,S-BP,IsingModel3X3,0.0,1.0,1.0,2,false,0.001,0.001,3,3,0,0,0
1,S-BP,IsingModel3X3,0.0,0.9696969696969697,0.9696969696969697,4,false,0.012,0.013000000000000001,3,3,0,0,0
